Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",1999,1999,tonnes,17000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2000,2000,tonnes,17900,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2001,2001,tonnes,15700,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2002,2002,tonnes,17000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2003,2003,tonnes,17800,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2004,2004,tonnes,16000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2005,2005,tonnes,17000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2006,2006,tonnes,16000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2007,2007,tonnes,14000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2008,2008,tonnes,13000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2009,2009,tonnes,15400,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2010,2010,tonnes,13000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2011,2011,tonnes,12000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2012,2012,tonnes,10700,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2013,2013,tonnes,10500,,Official data
QP,Livestock Processed,10,Australia,5510,Production,899,"Milk, dry buttermilk",2014,2014,tonnes,10500,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",1999,1999,tonnes,40000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2000,2000,tonnes,0,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2001,2001,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2002,2002,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2003,2003,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2004,2004,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2005,2005,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2006,2006,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2007,2007,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2008,2008,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2009,2009,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2010,2010,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2011,2011,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2012,2012,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2013,2013,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,896,"Milk, skimmed condensed",2014,2014,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",1999,1999,tonnes,3660971,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2000,2000,tonnes,3767849,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2001,2001,tonnes,3571953,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2002,2002,tonnes,3726931,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2003,2003,tonnes,3471618,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2004,2004,tonnes,3231683,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2005,2005,tonnes,3156454,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2006,2006,tonnes,2823666,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2007,2007,tonnes,2707106,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2008,2008,tonnes,2632940,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2009,2009,tonnes,3053120,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2010,2010,tonnes,2625420,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2011,2011,tonnes,2729619,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2012,2012,tonnes,2612025,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2013,2013,tonnes,2555625,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,888,"Milk, skimmed cow",2014,2014,tonnes,2555625,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",1999,1999,tonnes,255200,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2000,2000,tonnes,246600,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2001,2001,tonnes,249000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2002,2002,tonnes,243000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2003,2003,tonnes,182000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2004,2004,tonnes,189000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2005,2005,tonnes,205500,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2006,2006,tonnes,191000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2007,2007,tonnes,164000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2008,2008,tonnes,166000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2009,2009,tonnes,190200,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2010,2010,tonnes,222500,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2011,2011,tonnes,230300,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2012,2012,tonnes,224100,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2013,2013,tonnes,210962,,Official data
QP,Livestock Processed,10,Australia,5510,Production,898,"Milk, skimmed dried",2014,2014,tonnes,233835,,Official data
QP,Livestock Processed,10,Australia,5510,Production,895,"Milk, skimmed evaporated",2005,2005,tonnes,,M,Data not available
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",1999,1999,tonnes,13000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2000,2000,tonnes,15000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2001,2001,tonnes,24000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2002,2002,tonnes,22000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2003,2003,tonnes,13000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2004,2004,tonnes,13500,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2005,2005,tonnes,13500,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2006,2006,tonnes,14300,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2007,2007,tonnes,15500,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2008,2008,tonnes,17000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2009,2009,tonnes,17000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2010,2010,tonnes,17500,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2011,2011,tonnes,7500,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2012,2012,tonnes,7500,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2013,2013,tonnes,10000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,889,"Milk, whole condensed",2014,2014,tonnes,10000,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",1999,1999,tonnes,144800,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2000,2000,tonnes,186700,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2001,2001,tonnes,205000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2002,2002,tonnes,239000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2003,2003,tonnes,198000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2004,2004,tonnes,187000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2005,2005,tonnes,189000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2006,2006,tonnes,158000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2007,2007,tonnes,135000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2008,2008,tonnes,142000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2009,2009,tonnes,145000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2010,2010,tonnes,126000,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2011,2011,tonnes,151300,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2012,2012,tonnes,140400,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2013,2013,tonnes,108800,,Official data
QP,Livestock Processed,10,Australia,5510,Production,897,"Milk, whole dried",2014,2014,tonnes,108800,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",1999,1999,tonnes,25000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2000,2000,tonnes,10000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2001,2001,tonnes,4000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2002,2002,tonnes,6000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2003,2003,tonnes,6000,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2004,2004,tonnes,6800,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2005,2005,tonnes,5700,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2006,2006,tonnes,3600,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2007,2007,tonnes,3900,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2008,2008,tonnes,2900,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2009,2009,tonnes,2300,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2010,2010,tonnes,2450,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2011,2011,tonnes,2700,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2012,2012,tonnes,3600,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2013,2013,tonnes,4230,F,FAO estimate
QP,Livestock Processed,10,Australia,5510,Production,894,"Milk, whole evaporated",2014,2014,tonnes,4230,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,1999,1999,tonnes,474200,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2000,2000,tonnes,452900,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2001,2001,tonnes,456200,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2002,2002,tonnes,422000,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2003,2003,tonnes,410000,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2004,2004,tonnes,437400,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2005,2005,tonnes,444050,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2006,2006,tonnes,503300,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2007,2007,tonnes,501300,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2008,2008,tonnes,499100,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2009,2009,tonnes,483000,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2010,2010,tonnes,487800,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2011,2011,tonnes,493000,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2012,2012,tonnes,494000,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2013,2013,tonnes,548000,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,1225,Tallow,2014,2014,tonnes,585200,*,Unofficial figure
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",1999,1999,tonnes,69300,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2000,2000,tonnes,54180,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2001,2001,tonnes,54180,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2002,2002,tonnes,79380,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2003,2003,tonnes,84420,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2004,2004,tonnes,100800,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2005,2005,tonnes,95200,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2006,2006,tonnes,95200,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2007,2007,tonnes,95200,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2008,2008,tonnes,95200,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2009,2009,tonnes,95200,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2010,2010,tonnes,94962,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2011,2011,tonnes,100170,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2012,2012,tonnes,97650,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2013,2013,tonnes,97650,Im,FAO data based on imputation methodology
QP,Livestock Processed,10,Australia,5510,Production,900,"Whey, dry",2014,2014,tonnes,97650,Im,FAO data based on imputation methodology
QP,Livestock Processed,156,New Zealand,5510,Production,886,"Butter, cow milk",1999,1999,tonnes,317475,,Official data
QP,Livestock Processed,156,New Zealand,5510,Production,886,"Butter, cow milk",2000,2000,tonnes,343831,,Official data
QP,Livestock Processed,156,New Zealand,5510,Production,886,"Butter, cow milk",2001,2001,tonnes,391135,,Official data
QP,Livestock Processed,156,New Zealand,5510,Production,886,"Butter, cow milk",2002,2002,tonnes,414550,,Official data
QP,Livestock Processed,156,New Zealand,5510,Production,886,"Butter, cow milk",2003,2003,tonnes,405000,*,Unofficial figure
QP,Livestock Processed,156,New Zealand,5510,Production,886,"Butter, cow milk",2004,2004,tonnes,390000,*,Unofficial figure
QP,Livestock Processed,156,New Zealand,5510,Production,886,"Butter, cow milk",2005,2005,tonnes,379000,*,Unofficial figure
QP,Livestock Processed,156,New Zealand,5510,Production,886,"Butter, cow milk",2006,2006,tonnes,390000,*,Unofficial figure
